frame_index,time_seconds,x1,y1,x2,y2,confidence,pitch_deg,yaw_deg,roll_deg
148,4.938,1104.153,283.206,1240.468,419.93,0.863,-8.312,-164.278,4.402
148,4.938,1543.847,102.048,1583.922,142.298,0.8584,14.482,17.3,4.154
149,4.972,1112.351,281.051,1248.799,417.547,0.8778,-6.341,-164.166,4.304
149,4.972,1542.665,101.599,1582.962,142.067,0.8739,17.717,25.039,4.883
150,5.005,1541.633,101.323,1582.253,141.967,0.8774,16.465,24.112,1.264
150,5.005,1119.919,281.332,1255.259,416.386,0.8767,-7.991,-164.63,4.14
151,5.038,1540.509,101.129,1581.795,142.153,0.8786,16.667,27.739,1.95
151,5.038,1126.879,281.982,1265.543,420.656,0.8547,-7.522,-165.83,5.116
152,5.072,1141.724,285.51,1277.971,422.847,0.8769,-8.233,-166.002,6.217
152,5.072,1539.576,102.712,1580.087,142.944,0.8695,17.155,27.527,3.639
152,5.072,1645.656,119.281,1678.563,151.725,0.3883,11.21,32.552,10.673
153,5.105,1145.389,286.456,1282.785,424.869,0.8711,-9.729,-165.289,7.836
153,5.105,1538.981,103.058,1579.623,143.37,0.8655,15.527,28.769,2.748
154,5.138,1538.135,104.501,1578.704,144.699,0.8691,17.011,34.93,8.274
154,5.138,1155.63,292.12,1290.004,426.366,0.8675,-8.254,-161.839,6.534
155,5.172,1165.738,294.269,1294.389,423.412,0.8817,-9.038,-164.983,6.346
155,5.172,1536.406,106.175,1577.86,147.569,0.8636,16.44,33.787,7.834
156,5.205,1173.688,295.696,1300.889,424.241,0.8815,-10.166,-166.338,5.404
156,5.205,1536.212,107.753,1576.926,148.618,0.8532,17.245,42.208,12.447
156,5.205,1644.373,117.8,1677.325,150.77,0.3868,11.988,30.997,10.182
157,5.239,1181.436,295.777,1308.082,423.574,0.8594,-13.709,-165.803,7.109
157,5.239,1535.759,108.862,1576.249,149.506,0.8512,20.467,41.397,13.119
157,5.239,1643.5,119.071,1677.446,153.052,0.5969,10.906,29.11,7.325
158,5.272,1191.428,292.247,1319.882,421.039,0.877,-7.985,-165.386,5.322
158,5.272,1533.66,109.235,1575.012,149.649,0.8693,16.672,49.274,11.465
158,5.272,1643.199,120.669,1677.473,154.755,0.3848,10.156,28.683,7.212
159,5.305,1202.287,288.194,1329.703,415.013,0.8668,-7.455,-165.217,4.402
159,5.305,1532.383,108.634,1573.441,149.5,0.8631,23.829,60.159,24.079
159,5.305,1642.693,122.022,1677.446,156.555,0.3626,6.333,23.005,5.292
160,5.339,1531.798,108.28,1572.905,149.124,0.8693,21.279,64.165,22.916
160,5.339,1205.047,287.002,1333.34,414.41,0.8442,-7.719,-165.488,4.562
160,5.339,1642.64,122.269,1677.746,157.138,0.4933,5.422,22.225,5.099
161,5.372,1219.196,283.96,1342.284,406.647,0.8774,-8.478,163.508,-1.611
161,5.372,1530.759,106.578,1571.726,147.161,0.8715,19.238,61.841,21.376
161,5.372,1642.513,122.005,1677.74,157.032,0.5539,3.84,22.63,3.896
162,5.405,1224.248,282.468,1346.546,403.791,0.8709,-8.753,12.933,2.487
162,5.405,1530.487,106.033,1571.671,146.758,0.8692,14.691,61.186,19.267
162,5.405,1642.623,121.857,1677.582,156.616,0.5355,5.072,25.396,4.075
